Ano;Compra;Gerenciadora;Participante;Cadastro;Início Adesão;Fim Adesão;Início RP;Fim RP;Tipo;Situação;Bem;Grupo;Classe;Item;Marca;Modelo;Total;Restante;Percentual;Preço Referencial;Preço Final;Qtd.CompraAta
2025;134170;FOB    ;FOB    ;20/10/2025 10:30; ; ;31/10/2025 00:00;31/10/2026 00:00;Individual;Vigente;5978742;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;FITA TESTE P/TESTE DESAFIO PCD, COM INDICADOR BIOLOGICO,INTEGRADOR CL5;Terragene bionova; ;250,00;250,00;100,00;59,240;48,900;2;
2025;134170;FOB    ;FOB    ;20/10/2025 10:30; ; ;31/10/2025 00:00;31/10/2026 00:00;Individual;Vigente;7998589;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;fita teste, para autoclave a vapor saturado (tipo bowie dick);Dtech LTDA; ;900,00;900,00;100,00;8,436;5,700;2;
2025;134170;FOB    ;FOB    ;20/10/2025 10:30; ; ;31/10/2025 00:00;31/10/2026 00:00;Individual;Vigente;8788316;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;etiqueta para uso medico hospitalar tipo em celulose, com dupla camada;TSI;TSI-2928F;100.000,00;50.000,00;100,00;0,412;0,150;2;
2025;134170;FOB    ;FOB    ;20/10/2025 10:30; ; ;31/10/2025 00:00;31/10/2026 00:00;Individual;Vigente;9880194;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;FITA TESTE P/LIBERACAO DE CARGA C/INTEGRADOR CLASSE 5;Monitore;IQ5;1.000,00;0,00;100,00;59,727;7,760;2;
2025;51569;IF     ;FOB    ;21/05/2025 12:27;22/05/2025 16:49;30/05/2025 23:59;04/11/2025 00:00;03/11/2026 00:00;Setorizada;Vigente;8093733;INFORMATICA;PECAS E ACESSORIOS PARA COMPUTADORES;FONTE DE ALIMENTACAO P/ MICROCOMPUTADOR, 550W, ATX 12V V2.2; AEROCOOL;AEROCOOL KCAS 600W  80 PLUS COM CABO  TR;10,00;5,00;2,51;398,077;302,560;2;
2025;51569;IF     ;FOB    ;21/05/2025 12:27;22/05/2025 16:49;30/05/2025 23:59;04/11/2025 00:00;03/11/2026 00:00;Setorizada;Vigente;8201099;INFORMATICA;PECAS E ACESSORIOS PARA COMPUTADORES;MOUSE OPTICO 2 BOTOES COM SCROLL, NA COR PRETA, 1000 DPI, USB;LOGITECH; MOUSE USB LOGITECH  1000DPI M90;100,00;100,00;5,49;46,903;35,220;2;
2025;51569;IF     ;FOB    ;21/05/2025 12:27;22/05/2025 16:49;30/05/2025 23:59;04/11/2025 00:00;03/11/2026 00:00;Setorizada;Vigente;8201129;INFORMATICA;PECAS E ACESSORIOS PARA COMPUTADORES;TECLADO PARA MICROCOMPUTADOR ABNT2,  107 TECLAS,  NA COR PRETA; LOGITECH; TECLADO LOGITECH  DESKTOP K120 USB;100,00;100,00;6,84;87,803;70,450;2;
2025;51569;IF     ;FOB    ;21/05/2025 12:27;22/05/2025 16:49;30/05/2025 23:59;04/11/2025 00:00;03/11/2026 00:00;Setorizada;Vigente;8343756;INFORMATICA;EQUIPAMENTOS DE ESTABILIZACAO E PROTECA.;FILTRO DE LINHA, 06 TOMADAS, 1500VAC, CABO DE 3,00 M; DXR;DXR FILTRO DE LINHA PROTETOR ELETRÔNICO;100,00;80,00;6,57;34,847;30,840;2;
2025;51569;IF     ;FOB    ;21/05/2025 12:27;22/05/2025 16:49;30/05/2025 23:59;04/11/2025 00:00;03/11/2026 00:00;Setorizada;Vigente;8367256;INFORMATICA;PECAS E ACESSORIOS PARA COMPUTADORES;"SSD 2.5"" SATA 6GB/S, DE 480 GB"; ALLTEK; ALLTEK 2.5 SATA III 6  GBS - ATKSSDS 51;60,00;30,00;6,49;356,117;250,000;2;
2025;51569;IF     ;FOB    ;21/05/2025 12:27;22/05/2025 16:49;30/05/2025 23:59;04/11/2025 00:00;03/11/2026 00:00;Setorizada;Vigente;8487456;INFORMATICA;PECAS E ACESSORIOS PARA COMPUTADORES;DISCO RIGIDO PADRAO SSD, 01 TB;ALLTEK; ALLTEK SATA III 6 GBS,  2.5 - ATKSSDS 1;30,00;15,00;5,28;890,443;683,000;2;
